,지역,구,제목,사업체명,교육업체,사업유형,계획인원,참여인원,기간,접수여부
738,서울특별시,송파구,"- 서비스업 - 소독, 건물관리 등 시니어인턴십 3개월 운영 후 신규고용", (주)한국환경개발,시니어잡네트워크센터(민간),현장실습훈련 지원,3,0,2025-01-08 ~ 2025-08-30,접수중
739,서울특별시,중랑구,- 서비스 - 폐기물 수집운반 외 - 시니어인턴십 3개월 운영 후 신규고용 - 참여자 계속 고용예정, 용마용역(주),시니어잡네트워크센터(민간),현장실습훈련 지원,5,0,2025-01-01 ~ 2025-06-30,접수중
740,서울특별시,중랑구,"- 노인복지시설 - 요양원 - 오리엔테이션교육, 시니어인턴십 사업 안내 자체 실시 - 시니어인턴십 3개월 운영 후 계속고용예정", 존엄케어노인전문요양원,시니어잡네트워크센터(민간),현장실습훈련 지원,2,0,2025-01-01 ~ 2025-06-30,접수중
741,서울특별시,중랑구,- 도소매 - 재활용쓰레기 수집운반 외 - 시니어인턴십 3개월 운영 후 신규고용 - 참여자 계속 고용예정, 에코글로벌 주식회사,시니어잡네트워크센터(민간),현장실습훈련 지원,5,0,2025-01-01 ~ 2025-06-30,접수중
742,인천광역시,남동구,- 노인요양공동생활시설 - 요양원 - 시니어인턴십 3개월 운영 후 신규고용, 행복한남촌요양원,시니어잡네트워크센터(민간),현장실습훈련 지원,1,0,2025-04-07 ~ 2025-05-30,접수중
743,인천광역시,부평구,- 노인요양공동생활시설 - 요양원 - 시니어인턴십 3개월 운영 후 신규고용, 효사랑요양원1,시니어잡네트워크센터(민간),현장실습훈련 지원,10,0,2025-02-05 ~ 2025-10-31,접수중
744,인천광역시,서구,- 노인복지시설 - 요양원 시니어인턴십 3개월 운영 후 신규고용, 검단봄요양원,시니어잡네트워크센터(민간),현장실습훈련 지원,2,0,2025-01-15 ~ 2025-08-30,접수중
745,인천광역시,서구,- 노인요양시설 - 요양원 - 시니어인턴십 3개월 운영 후 신규고용, 늘편한요양원,시니어잡네트워크센터(민간),현장실습훈련 지원,3,0,2025-02-26 ~ 2025-07-31,접수중
746,인천광역시,서구,- 건설업 - 조경건설업 등 - 시니어인턴십 3개월 운영 후 신규고용, 주식회사 남경조경,시니어잡네트워크센터(민간),현장실습훈련 지원,45,0,2025-03-04 ~ 2025-05-30,접수중
747,인천광역시,서구,- 전문 과학기술서비스업 - 건축설계 및 감리 - 시니어인턴십 3개월 운영 후 신규고용, 주식회사 엘앤피건축사사무소,시니어잡네트워크센터(민간),현장실습훈련 지원,2,0,2025-03-21 ~ 2025-06-30,접수중
