기관명,특별시도,주소,위도,경도,지역
순천YWCA여성인력개발센터,전라남도,전라남도 순천시 유동1길 14(조례동),34.953286800000,127.516821500000,전라남도 순천시
광양고용센터,전라남도,"전라남도 광양시 중마로 410(마동) 커뮤니티센터 8층, 9층",34.946543800000,127.702946500000,전라남도 광양시
(사)광양만권일자리사업단,전라남도,전라남도 광양시 불로로 123(중동) -,34.944741249289,127.692639774370,전라남도 광양시
케이잡스 광양지사,전라남도,전라남도 광양시 중마중앙로 49(중동) 3층,34.934583919545,127.697755053549,전라남도 광양시
여수고용센터,전라남도,전라남도 여수시 웅천북로 33(웅천동),34.752045850000,127.674173000000,전라남도 여수시
케이잡스 여수지사,전라남도,전라남도 여수시 문수로 15(문수동) 2층,34.749815396630,127.699067681540,전라남도 여수시
여수YWCA여성인력개발센터,전라남도,전라남도 여수시 시청로 34(학동) 이레타운 4층,34.784286330000,127.662656000000,전라남도 여수시
(사)광양만권일자리사업단,전라남도,전라남도 광양시 불로로 123(중동),34.944214860000,127.695503700000,전라남도 광양시
인천고용센터,인천광역시,인천광역시 남동구 문화로 131(구월동),37.447086050000,126.699287500000,인천광역시 남동구
(사)한국고용서비스진흥원 인천점,인천광역시,인천광역시 미추홀구 주안로 113(주안동) 3층,37.464078580000,126.680074800000,인천광역시 미추홀구
(주)제니엘인천지점,인천광역시,인천광역시 남동구 인주대로 580(구월동) 5층,37.448513770000,126.729037900000,인천광역시 남동구
(주)지에스씨넷인천지점,인천광역시,인천광역시 미추홀구 경인로 119(숭의동) 11층,37.458015230000,126.687619700000,인천광역시 미추홀구
(주)커리어넷 인천주안지사,인천광역시,"인천광역시 미추홀구 주안로 86(주안동) 2층 201,202호",37.464078580000,126.680074800000,인천광역시 미추홀구
휴먼잡트러스트,인천광역시,인천광역시 연수구 새말로96번길 26(연수동) -,37.418437400000,126.679220700000,인천광역시 연수구
채움에이치알디,인천광역시,인천광역시 남동구 문화로 135(구월동) -,37.451135963122,126.699539144847,인천광역시 남동구
주식회사이노스잡,인천광역시,인천광역시 남동구 청능대로 583(논현동) 901호,37.399271100000,126.701224600000,인천광역시 남동구
제이엠커리어 인천지사,인천광역시,인천광역시 남동구 인주대로 596(구월동) -,37.448098770000,126.737033100000,인천광역시 남동구
잡모아 인천남부지점,인천광역시,인천광역시 연수구 벚꽃로 96(청학동) -,37.418117800000,126.676606400000,인천광역시 연수구
인지어스(유)인천지사,인천광역시,인천광역시 남동구 문화로 147(구월동) 501호,37.447086050000,126.699287500000,인천광역시 남동구
맥시머스 인천지점,인천광역시,인천광역시 남동구 구월로 243(구월동) -,37.456284714054,126.717671911178,인천광역시 남동구
(주)채움에이치알디(송도지사),인천광역시,"인천광역시 연수구 송도과학로16번길 13-18(송도동) 732,734,735호",37.381020695503,126.660813360073,인천광역시 연수구
(주)미래서비스,인천광역시,인천광역시 연수구 벚꽃로 106(청학동) 504호,37.417676850000,126.677220500000,인천광역시 연수구
인천북부고용센터,인천광역시,인천광역시 계양구 장제로 804(계산동) 영산빌딩 2층~5층,37.539509300000,126.734997600000,인천광역시 계양구
(사)한국고용복지센터 인천북부,인천광역시,인천광역시 계양구 계양대로 214(계산동) 에이스타운 306호,37.543048538866,126.723035805222,인천광역시 계양구
(주)스탭스 인천북부센터,인천광역시,인천광역시 부평구 부흥로 265(부평동) 403호,37.498933470000,126.717616000000,인천광역시 부평구
(주)맥시머스 부평지점,인천광역시,인천광역시 부평구 부평대로 152(부평동) 208호,37.521444350000,126.721931900000,인천광역시 부평구
(주)지에스씨넷 인천북부지점,인천광역시,인천광역시 부평구 경원대로 1414(부평동) 5층,37.491369050000,126.723586000000,인천광역시 부평구
(주)채움에이치알디 부평지사,인천광역시,인천광역시 부평구 갈월서로 4(갈산동) 3층,37.510382930000,126.723385700000,인천광역시 부평구
인지어스(유) 인천북부지사,인천광역시,인천광역시 계양구 경명대로 1058(계산동) 201호,37.544491130000,126.746945500000,인천광역시 계양구
국제커리어센터 인천부평,인천광역시,인천광역시 부평구 경원대로1377번길 4(부평동) 3층,37.493210050000,126.722233500000,인천광역시 부평구
(주)휴먼잡트러스트 계양지점,인천광역시,인천광역시 계양구 계산새로65번길 15(계산동) 3층,37.539581050000,126.735321400000,인천광역시 계양구
인천서부고용센터,인천광역시,인천광역시 서구 이음1로 389 에이플러스빌딩 4~8층,37.594982022030,126.716540104645,인천광역시 서구
(주)명은커리어 인천서부지사,인천광역시,인천광역시 서구 원당대로 626(당하동) 4층,37.593624814065,126.670575048256,인천광역시 서구
(주)잡모아 인천서부지점,인천광역시,인천광역시 서구 탁옥로 55(심곡동) 303호,37.544125900000,126.675836900000,인천광역시 서구
(주)채움에이치알디 인천서부지사,인천광역시,인천광역시 서구 염곡로 472(가정동) 703호,37.526841944136,126.669734937140,인천광역시 서구
사회적협동조합일터와사람들 서부지사,인천광역시,인천광역시 서구 서곶로301번길 7(심곡동) 6층,37.544463400000,126.675740300000,인천광역시 서구
(주)휴먼잡트러스트 인천서구지점,인천광역시,인천광역시 서구 서곶로 281(심곡동) 2층,37.542627200000,126.676372600000,인천광역시 서구
강화고용센터,인천광역시,인천광역시 강화군 강화읍 강화대로 395 준프라자 5층,37.745391034450,126.486820066719,인천광역시 강화군
(주)지에스씨넷 인천지점,인천광역시,"인천광역시 미추홀구 경인로 119(숭의동) 1101,1102호",37.458015230000,126.687619700000,인천광역시 미추홀구
(주)휴먼잡트러스트,인천광역시,인천광역시 연수구 새말로96번길 26(연수동) 4층,37.418437400000,126.679220700000,인천광역시 연수구
울산고용센터,울산광역시,울산광역시 남구 화합로 106(삼산동),35.534338339057,129.341320190258,울산광역시 남구
(사)울산사회경제연구원,울산광역시,울산광역시 남구 삼산로35번길 19(신정동) 6층,35.535402810000,129.310842500000,울산광역시 남구
(주)두원잡 울산지사,울산광역시,울산광역시 남구 삼산로 37(신정동) 701호,35.539937900000,129.345910400000,울산광역시 남구
(주)맥시머스_울산중부지점,울산광역시,울산광역시 중구 젊음의2거리 29(성남동) 1301호,35.552926810000,129.320618100000,울산광역시 중구
(주)아이앤제이커리어컨설팅센터 중구지사,울산광역시,울산광역시 중구 젊음의2거리 29(성남동) 502호,35.552926810000,129.320618100000,울산광역시 중구
(주)위더스,울산광역시,울산광역시 남구 북부순환도로 17(무거동) 1312호,35.550268250000,129.263908100000,울산광역시 남구
(주)제니엘울산센터,울산광역시,울산광역시 동구 방어진순환도로 1132(서부동) 4층,35.513664690000,129.431556900000,울산광역시 동구
(주)좋은일자리,울산광역시,울산광역시 남구 수암로 5(신정동) 3층,35.526753930000,129.325147600000,울산광역시 남구
(주)좋은일자리 동구지사,울산광역시,울산광역시 동구 방어진순환도로 678(일산동) 3층,35.513664690000,129.431556900000,울산광역시 동구
(주)좋은일자리 북부센터,울산광역시,울산광역시 북구 상방로 130(연암동) 2층,35.581025990000,129.362849800000,울산광역시 북구
(주)좋은일자리 서부센터,울산광역시,울산광역시 울주군 범서읍 굴화1길 60 2층,35.556186690794,129.260382680422,울산광역시 울주군
(주)지에스씨넷울산지점,울산광역시,울산광역시 남구 화합로 198(삼산동) 3층,35.542274596172,129.339783496484,울산광역시 남구
퍼스트인잡(주)울산사무소,울산광역시,울산광역시 중구 번영로 576(남외동) 4층,35.562622330000,129.333556000000,울산광역시 중구
스탭스(주)울산센터,울산광역시,울산광역시 남구 화합로 138(삼산동) 702호,35.534720380000,129.340900300000,울산광역시 남구
사단법인울산YWCA,울산광역시,울산광역시 남구 삼호로 81(무거동),35.549726010000,129.269978900000,울산광역시 남구
(주)케이잡스 울산지사,울산광역시,울산광역시 북구 호계로 286(호계동) 2층,35.628676900000,129.351239600000,울산광역시 북구
